ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10010233,HY199650,03/26/2015 08:09:00 PM,004XX W NORTH AVE,460,BATTERY,SIMPLE,SIDEWALK,true,false,1813,18,43,7,08B,1172896,1910953,2015,08/17/2015 03:03:40 PM,41.911089355,-87.640269863,"(41.911089355, -87.640269863)"
6216344,HP301980,04/26/2008 11:56:00 AM,053XX S LOWE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,934,9,3,61,15,1172869,1869573,2008,02/04/2016 06:33:39 AM,41.79754003,-87.641593689,"(41.79754003, -87.641593689)"
9292514,HW437554,09/04/2013 05:00:00 PM,040XX W CHICAGO AVE,560,ASSAULT,SIMPLE,CTA BUS,true,false,1111,11,37,23,08A,1149495,1905045,2013,02/04/2016 06:33:39 AM,41.895363905,-87.726390989,"(41.895363905, -87.726390989)"
4924319,HM539447,08/14/2006 10:39:00 PM,013XX S CANAL ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,131,1,2,28,6,1173336,1893976,2006,04/15/2016 08:55:02 AM,41.864493678,-87.639158,"(41.864493678, -87.639158)"
2522168,HH867252,12/29/2002 04:30:00 PM,001XX E DELAWARE PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,false,false,1833,18,42,8,11,1177786,1906673,2002,04/15/2016 08:55:02 AM,41.899235024,-87.622436193,"(41.899235024, -87.622436193)"
9135596,HW280529,05/18/2013 03:05:00 PM,004XX N ALBANY AVE,820,THEFT,$500 AND UNDER,STREET,false,false,1221,12,27,23,6,1155636,1902827,2013,02/04/2016 06:33:39 AM,41.88915608,-87.70389624,"(41.88915608, -87.70389624)"
6291998,HP381758,06/07/2008 09:41:01 PM,011XX N CENTRAL AVE,460,BATTERY,SIMPLE,SIDEWALK,false,false,1524,15,37,25,08B,1138804,1907004,2008,02/04/2016 06:33:39 AM,41.900940461,-87.76560933,"(41.900940461, -87.76560933)"
10605323,HZ356922,07/20/2016 03:30:00 AM,024XX E 78TH ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,421,4,7,43,5,1193994,1853728,2016,07/27/2016 03:52:26 PM,41.753567662,-87.564645811,"(41.753567662, -87.564645811)"
1324793,G018731,01/09/2001 05:30:00 PM,063XX S STEWART AV,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,true,722,7,,,26,1174668,1863066,2001,08/17/2015 03:03:40 PM,41.77964422,-87.635190287,"(41.77964422, -87.635190287)"
10093544,HY282296,05/27/2015 04:00:00 PM,072XX S EVANS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,323,3,6,69,26,1182474,1857268,2015,08/17/2015 03:03:40 PM,41.763556474,-87.606752345,"(41.763556474, -87.606752345)"
7928608,HT161635,01/01/2011 09:00:00 AM,012XX S FEDERAL ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,132,1,2,33,26,1175975,1894683,2011,02/04/2016 06:33:39 AM,41.866374768,-87.629449084,"(41.866374768, -87.629449084)"
7060210,HR466536,08/05/2009 07:45:00 AM,002XX W GARFIELD BLVD,850,THEFT,ATTEMPT THEFT,CTA TRAIN,false,false,934,9,3,37,6,1175647,1868500,2009,02/04/2016 06:33:39 AM,41.794533814,-87.631438536,"(41.794533814, -87.631438536)"
10415825,HZ153768,02/16/2016 04:34:00 PM,107XX S GREEN BAY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,432,4,10,52,15,1200530,1834441,2016,02/23/2016 03:52:49 PM,41.700479919,-87.541344595,"(41.700479919, -87.541344595)"
9711325,HX361279,07/24/2014 06:00:00 PM,022XX W 51ST ST,890,THEFT,FROM BUILDING,APARTMENT,false,false,931,9,16,63,6,1162282,1870809,2014,02/04/2016 06:33:39 AM,41.801158994,-87.680383425,"(41.801158994, -87.680383425)"
10596902,HZ347946,07/13/2016 08:20:00 PM,016XX N CLARK ST,460,BATTERY,SIMPLE,GAS STATION,false,false,1814,18,43,7,08B,1175071,1911382,2016,07/20/2016 03:52:04 PM,41.912218046,-87.632266858,"(41.912218046, -87.632266858)"
3597651,HK689058,10/15/2004 06:13:36 PM,001XX W 87TH ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,622,6,21,44,6,1176740,1847273,2004,04/15/2016 08:55:02 AM,41.736259984,-87.628068782,"(41.736259984, -87.628068782)"
2691437,HJ314602,04/20/2003 07:00:00 PM,033XX N PULASKI RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1732,17,30,21,7,1149138,1921939,2003,04/15/2016 08:55:02 AM,41.941729546,-87.727263674,"(41.941729546, -87.727263674)"
1722955,G528267,09/02/2001 04:00:00 PM,016XX N CAMPBELL AV,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,1434,14,,,7,1159412,1910652,2001,08/17/2015 03:03:40 PM,41.910551685,-87.689813674,"(41.910551685, -87.689813674)"
7706195,HS512150,09/12/2010 08:25:00 PM,015XX S FARRAR DR,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,false,false,1022,10,12,29,3,1157760,1892321,2010,02/04/2016 06:33:39 AM,41.860283563,-87.696382354,"(41.860283563, -87.696382354)"
2671770,HJ287813,04/08/2003 08:00:00 AM,063XX S ABERDEEN ST,620,BURGLARY,UNLAWFUL ENTRY,STREET,false,false,724,7,16,68,5,1170072,1862708,2003,04/15/2016 08:55:02 AM,41.778762983,-87.652050165,"(41.778762983, -87.652050165)"
1639167,G422706,07/19/2001 04:31:08 AM,119XX S EMERALD AV,460,BATTERY,SIMPLE,STREET,false,false,524,5,,,08B,1173511,1825670,2001,08/17/2015 03:03:40 PM,41.677050162,-87.64053542,"(41.677050162, -87.64053542)"
10687952,HZ441285,09/19/2016 04:00:00 PM,035XX W LAWRENCE AVE,820,THEFT,$500 AND UNDER,STREET,false,false,1723,17,33,14,6,1152101,1931670,2016,09/26/2016 03:54:00 PM,41.968374092,-87.716115753,"(41.968374092, -87.716115753)"
4179786,HL510085,07/26/2005 09:50:00 PM,009XX N MICHIGAN AVE,890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1833,18,42,8,6,1177322,1906785,2005,04/15/2016 08:55:02 AM,41.899552895,-87.624137033,"(41.899552895, -87.624137033)"
1722955,G528267,09/02/2001 04:00:00 PM,016XX N CAMPBELL AV,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,1434,14,,,7,1159412,1910652,2001,08/17/2015 03:03:40 PM,41.910551685,-87.689813674,"(41.910551685, -87.689813674)"
4280628,HL585533,09/01/2005 04:30:00 PM,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,1123,11,28,27,11,1152291,1901263,2005,04/15/2016 08:55:02 AM,41.884930978,-87.716221792,"(41.884930978, -87.716221792)"
8431014,HV109524,01/08/2012 10:30:00 AM,042XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1115,11,28,26,18,1148036,1899674,2012,02/04/2016 06:33:39 AM,41.880653484,-87.73188785,"(41.880653484, -87.73188785)"
7414821,HS215452,03/19/2010 10:15:00 AM,052XX S LAKE PARK AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2132,2,4,41,6,1187625,1870835,2010,02/04/2016 06:33:39 AM,41.80066446,-87.587441769,"(41.80066446, -87.587441769)"
10284306,HY472031,10/21/2015 02:00:00 PM,003XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,114,1,2,32,14,1177341,1898860,2015,10/28/2015 04:04:12 PM,41.877805859,-87.624307765,"(41.877805859, -87.624307765)"
1530444,G280319,05/15/2001 06:03:34 PM,124XX S EGGLESTON AV,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE PORCH/HALLWAY,false,false,523,5,,,26,1175515,1822342,2001,08/17/2015 03:03:40 PM,41.667873147,-87.633299176,"(41.667873147, -87.633299176)"
3478484,HK523222,07/29/2004 01:38:03 PM,007XX W DIVISION ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1822,18,27,8,18,1171152,1908231,2004,04/15/2016 08:55:02 AM,41.903658527,-87.646756709,"(41.903658527, -87.646756709)"
4983062,HM596097,09/12/2006 01:00:00 AM,088XX S HOLLAND RD,810,THEFT,OVER $500,STREET,false,false,634,6,21,49,6,1176005,1846560,2006,04/15/2016 08:55:02 AM,41.734319917,-87.630782877,"(41.734319917, -87.630782877)"
1629988,G393614,07/06/2001 09:35:00 AM,001XX S ROCKWELL ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1125,11,,,16,1159089,1899575,2001,08/17/2015 03:03:40 PM,41.880162091,-87.691304764,"(41.880162091, -87.691304764)"
8824714,HV497859,09/30/2012 02:00:00 AM,008XX E 100TH ST,3960,INTIMIDATION,INTIMIDATION,SIDEWALK,true,false,511,5,8,50,26,1183665,1838582,2012,02/04/2016 06:33:39 AM,41.712252338,-87.602968356,"(41.712252338, -87.602968356)"
2502432,HH824446,12/07/2002 09:10:00 PM,026XX W 36TH ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,913,9,12,58,18,1159446,1880696,2002,04/15/2016 08:55:02 AM,41.828348796,-87.69051286,"(41.828348796, -87.69051286)"
3886567,HL252885,03/24/2005 08:00:00 AM,068XX S NORMAL BLVD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,722,7,6,68,5,1174126,1859674,2005,04/15/2016 08:55:02 AM,41.770348245,-87.637277969,"(41.770348245, -87.637277969)"
2506986,HH846805,12/18/2002 06:50:00 PM,081XX S EVANS AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,false,true,631,6,6,44,26,1182639,1851291,2002,04/15/2016 08:55:02 AM,41.747151137,-87.606332713,"(41.747151137, -87.606332713)"
